epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,37520.7,0.26366,0.35896,0.93939,0.92766,0.94651,0.97609,0.96988,0.17322,0.27781,0.28575,0.000396262,0.000396262,0.000396262
75,38038.8,0.26903,0.35537,0.94874,0.94497,0.94618,0.97841,0.97243,0.16558,0.27081,0.28973,0.000382115,0.000382115,0.000382115
76,38542.6,0.27192,0.36214,0.94658,0.88625,0.98383,0.97715,0.97271,0.17583,0.28006,0.29264,0.000367967,0.000367967,0.000367967
77,39038,0.26038,0.36254,0.93542,0.90886,0.96811,0.98018,0.97378,0.17096,0.26101,0.2907,0.00035382,0.00035382,0.00035382
78,39533.8,0.25607,0.34763,0.93951,0.9355,0.949,0.98394,0.97883,0.17961,0.25879,0.29844,0.000339673,0.000339673,0.000339673
79,40038.5,0.26119,0.35498,0.94244,0.93514,0.92691,0.97714,0.97222,0.15957,0.32902,0.27753,0.000325526,0.000325526,0.000325526
80,40538.1,0.26043,0.35232,0.93308,0.93784,0.94709,0.97816,0.97283,0.1718,0.27045,0.28569,0.000311379,0.000311379,0.000311379
81,41055.3,0.25783,0.3529,0.94353,0.91009,0.96403,0.98372,0.98017,0.18154,0.26505,0.29385,0.000297232,0.000297232,0.000297232
82,41558.8,0.25402,0.33558,0.93892,0.95182,0.94789,0.98262,0.97881,0.15577,0.2495,0.26976,0.000283085,0.000283085,0.000283085
83,42075.3,0.25473,0.35517,0.93984,0.94981,0.94407,0.98464,0.98181,0.16902,0.25709,0.29247,0.000268938,0.000268938,0.000268938
84,42590.4,0.23813,0.33731,0.93594,0.94301,0.93522,0.9805,0.97697,0.15799,0.26677,0.27347,0.000254791,0.000254791,0.000254791
85,43104.4,0.24254,0.33963,0.9347,0.93648,0.94659,0.98147,0.97792,0.15281,0.26308,0.26318,0.000240644,0.000240644,0.000240644
86,43606.2,0.24649,0.33079,0.93488,0.93857,0.93734,0.98227,0.97928,0.1558,0.24742,0.26791,0.000226497,0.000226497,0.000226497
87,44111.5,0.24039,0.3201,0.92916,0.92713,0.96186,0.98276,0.97963,0.14502,0.2363,0.26333,0.000212349,0.000212349,0.000212349
88,44615.5,0.24193,0.32971,0.93613,0.95882,0.91929,0.98389,0.98095,0.14335,0.23477,0.26421,0.000198202,0.000198202,0.000198202
89,45114.1,0.2413,0.31377,0.93348,0.94211,0.94278,0.98188,0.97893,0.14087,0.23538,0.25435,0.000184055,0.000184055,0.000184055
90,45630.5,0.2403,0.32022,0.93473,0.95616,0.92439,0.9834,0.98047,0.15556,0.25554,0.26999,0.000169908,0.000169908,0.000169908
91,46152.3,0.2337,0.28874,0.97028,0.91108,0.96333,0.98067,0.97665,0.15331,0.28081,0.2682,0.000155761,0.000155761,0.000155761
92,46653.3,0.21337,0.23871,0.9536,0.92415,0.9628,0.98211,0.97901,0.1431,0.25673,0.2538,0.000141614,0.000141614,0.000141614
93,47168.1,0.20779,0.23363,0.96553,0.91503,0.9594,0.98204,0.97915,0.13669,0.25848,0.25469,0.000127467,0.000127467,0.000127467
94,47673.5,0.20184,0.21497,0.94807,0.94223,0.96313,0.98635,0.98458,0.13529,0.22329,0.26244,0.00011332,0.00011332,0.00011332
95,48185.8,0.18985,0.2027,0.93254,0.92581,0.97619,0.98522,0.9834,0.12678,0.23142,0.2458,9.91726e-05,9.91726e-05,9.91726e-05
96,48699.5,0.18016,0.18812,0.91771,0.92592,0.97001,0.98511,0.98272,0.12217,0.21944,0.2413,8.50255e-05,8.50255e-05,8.50255e-05
97,49208.6,0.18394,0.20907,0.92348,0.94282,0.97371,0.98579,0.98509,0.1257,0.21102,0.2413,7.08784e-05,7.08784e-05,7.08784e-05
98,49729.2,0.1732,0.18322,0.922,0.94607,0.95252,0.98442,0.98359,0.11393,0.22388,0.22966,5.67313e-05,5.67313e-05,5.67313e-05
99,50236.8,0.1753,0.19085,0.9228,0.94345,0.95982,0.98397,0.98335,0.11743,0.22367,0.23315,4.25842e-05,4.25842e-05,4.25842e-05
100,50763.6,0.17354,0.18361,0.92092,0.9616,0.94591,0.98472,0.98427,0.11539,0.21294,0.22897,2.84371e-05,2.84371e-05,2.84371e-05
